,player_ref,player_name,rating_1,rating_2,impact,maps_played,maps_won,rounds_played,rounds_with_kills,total_kills,total_deaths,kill_death_difference,kd_ratio,rounds_0_kill,rounds_1_kill,rounds_2_kill,rounds_3_kill,rounds_4_kill,rounds_5_kill,total_opening_kills,total_opening_deaths,opening_kill_ratio,kills_per_round,deaths_per_round,assists_per_round,average_damage_per_round,grenade_damage_per_round,headshot_percent,kast,team_win_percent_after_first_kill,first_kill_in_won_rounds,saved_by_teammate_per_round,saved_a_teammate_per_round,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills
0,11893,ZywOo,1.29,1.35,1.5,634,0.606,16532,8894,14311,10288,4023,1.39,7638,5043,2611,966,222,52,2654,1657,1.6,0.87,0.62,0.13,90.4,3.7,0.418,0.748,0.731,0.22,0.1,0.12,5107,5306,788,2851,165,116
1,39,GeT_RiGhT,1.1,,1.03,1675,0.616,43065,21253,32012,27633,4379,1.16,21812,13186,5906,1766,350,45,4282,3971,1.08,0.74,0.64,0.15,76.8,4.3,0.491,0.691,0.762,0.14,0.09,0.08,23226,878,2125,4816,443,541
2,13281,El1an,1.1,1.13,1.19,583,0.45799999999999996,15569,7717,11540,9929,1611,1.16,7852,4853,2049,679,128,8,2082,1449,1.44,0.74,0.64,0.1,76.3,1.9,0.278,0.6890000000000001,0.721,0.196,0.07,0.09,2077,7076,234,2025,72,70
3,5021,swag,1.1,,1.09,556,0.606,14447,7071,10527,8898,1629,1.18,7376,4462,1915,564,122,8,1395,1165,1.2,0.73,0.62,0.14,77.6,4.7,0.495,0.7290000000000001,0.757,0.136,0.08,0.09,6649,1365,447,1847,171,69
4,1378,zehN,1.1,,1.13,847,0.586,22217,10766,16421,14384,2037,1.14,11451,6621,2925,960,230,30,2012,1883,1.07,0.74,0.65,0.15,80.9,7.1,0.455,0.716,0.7609999999999999,0.131,0.08,0.09,11566,471,1285,2698,355,61
5,11264,WARDELL,1.1,1.13,1.19,609,0.53,15901,7692,11627,9979,1648,1.17,8209,4738,2139,663,138,14,2057,1399,1.47,0.73,0.63,0.1,74.2,2.1,0.272,0.7090000000000001,0.723,0.185,0.09,0.1,1523,7327,578,2109,94,39
6,12840,hallzerk,1.1,1.13,1.2,357,0.518,9538,4655,7097,6214,883,1.14,4883,2841,1302,413,82,17,1274,934,1.36,0.74,0.65,0.1,75.5,2.6,0.342,0.7020000000000001,0.737,0.196,0.09,0.11,1771,3762,215,1301,46,15
7,11140,INS,1.1,1.17,1.22,743,0.685,18855,9281,14101,12276,1825,1.15,9574,5652,2639,805,169,16,2103,1892,1.11,0.75,0.65,0.17,84.2,7.8,0.42200000000000004,0.718,0.774,0.152,0.1,0.09,9444,702,1085,2388,359,148
8,695,allu,1.1,,1.14,1481,0.5820000000000001,38760,19362,28934,24723,4211,1.17,19398,12113,5323,1589,308,29,4677,3027,1.55,0.75,0.64,0.11,75.6,3.6,0.287,0.701,0.77,0.177,0.08,0.09,8221,13637,1451,4965,460,236
9,11816,ropz,1.1,1.14,1.07,796,0.589,20900,10255,15263,12840,2423,1.19,10645,6471,2765,834,165,20,1865,1568,1.19,0.73,0.61,0.11,78.3,2.5,0.521,0.726,0.733,0.124,0.07,0.1,11592,344,576,2631,78,66
10,11916,sergej,1.1,1.16,1.15,620,0.613,16339,8154,12171,10379,1792,1.17,8185,5128,2195,688,126,17,1662,1505,1.1,0.74,0.64,0.14,81.1,4.0,0.498,0.731,0.742,0.14,0.1,0.11,8953,501,419,2050,164,113
11,10263,xccurate,1.1,,1.15,597,0.611,15354,7551,11415,9849,1566,1.16,7803,4686,2035,678,135,17,1788,1327,1.35,0.74,0.64,0.1,75.0,1.8,0.316,0.713,0.767,0.166,0.1,0.1,2844,5903,554,2044,69,18
12,11188,xeta,1.1,1.17,1.2,351,0.5579999999999999,8823,4292,6488,5570,918,1.16,4531,2668,1157,373,83,11,1058,742,1.43,0.74,0.63,0.13,79.9,3.9,0.41100000000000003,0.732,0.743,0.17,0.11,0.12,3169,1789,234,1214,78,22
13,13254,TenZ,1.1,1.15,1.21,401,0.534,10399,5128,7931,7092,839,1.12,5271,3097,1401,503,112,15,1173,1121,1.05,0.76,0.68,0.14,82.4,3.2,0.513,0.715,0.713,0.156,0.1,0.12,5215,814,236,1583,62,39
14,10588,Liazz,1.11,,1.12,760,0.638,19497,9376,14113,11956,2157,1.18,10121,5882,2467,830,178,19,1765,1467,1.2,0.72,0.61,0.16,80.6,4.6,0.456,0.743,0.742,0.12300000000000001,0.1,0.11,10285,112,1112,2372,213,60
15,9032,Magisk,1.11,,1.14,1082,0.657,28312,13842,20862,17757,3105,1.17,14470,8592,3785,1189,248,28,2876,2511,1.15,0.74,0.63,0.15,81.0,5.4,0.475,0.733,0.762,0.14,0.09,0.1,15665,384,936,3566,298,49
16,6455,OCEAN,0.77,,0.72,384,0.375,9928,3812,5168,7045,-1877,0.73,6116,2714,879,185,30,4,553,879,0.63,0.52,0.71,0.12,59.8,3.5,0.439,0.6409999999999999,0.711,0.086,0.09,0.08,3437,312,432,883,64,48
17,10980,DuDe,0.78,0.84,0.78,303,0.455,8063,3043,4192,5656,-1464,0.74,5020,2127,717,167,30,2,622,928,0.67,0.52,0.7,0.13,62.9,6.1,0.5329999999999999,0.643,0.743,0.11800000000000001,0.1,0.07,2934,124,325,700,95,14
18,7415,HUNDEN,0.81,,0.8,1578,0.541,41153,16415,22470,28708,-6238,0.78,24738,11579,3779,923,121,13,3079,4493,0.69,0.55,0.7,0.14,64.4,4.5,0.48700000000000004,0.6679999999999999,0.727,0.106,0.11,0.09,16737,220,1502,3589,401,63
19,9152,shinobi,0.83,,0.82,352,0.415,9234,3801,5332,6726,-1394,0.79,5433,2625,876,251,43,6,753,1043,0.72,0.58,0.73,0.13,64.5,3.7,0.496,0.664,0.73,0.124,0.12,0.09,3636,365,365,911,59,9
20,472,B1ad3,0.83,,0.84,899,0.449,23232,9604,13472,16880,-3408,0.8,13628,6564,2346,582,105,7,1977,2548,0.78,0.58,0.73,0.16,66.5,2.6,0.419,0.6459999999999999,0.7340000000000001,0.129,0.1,0.07,10064,67,860,2256,118,108
21,3545,haste,0.84,,0.95,313,0.534,8108,3336,4673,5765,-1092,0.81,4772,2286,804,211,31,4,825,1135,0.73,0.58,0.71,0.16,68.3,4.5,0.45,0.677,0.715,0.14300000000000002,0.12,0.08,3027,410,342,813,78,11
22,13779,PASHANOJ,0.84,0.91,0.92,480,0.456,12505,5177,7359,9114,-1755,0.81,7328,3481,1281,349,61,5,1250,1758,0.71,0.59,0.73,0.13,68.6,4.0,0.536,0.647,0.727,0.152,0.1,0.07,4862,69,1101,1229,79,36
23,7217,SolEk,0.84,,0.71,372,0.409,9381,3942,5542,6782,-1240,0.82,5439,2739,889,252,59,3,830,934,0.89,0.59,0.72,0.13,61.3,2.6,0.495,0.652,0.764,0.14400000000000002,0.11,0.07,3299,592,264,1265,93,32
24,9637,LONSDALE,0.85,,0.95,368,0.503,9415,3957,5551,6754,-1203,0.82,5458,2699,969,244,43,2,944,1205,0.78,0.59,0.72,0.16,71.7,5.8,0.42,0.6609999999999999,0.742,0.14800000000000002,0.09,0.07,3638,216,525,1056,109,19
25,8708,Slemmy,0.85,,0.78,445,0.508,11663,4779,6638,7951,-1313,0.83,6884,3302,1147,280,48,2,803,1066,0.75,0.57,0.68,0.12,63.7,3.2,0.496,0.677,0.74,0.10099999999999999,0.11,0.09,4437,220,592,1298,99,6
26,136,gob b,0.85,,0.84,975,0.511,25707,10397,14445,17256,-2811,0.84,15310,7211,2466,606,108,6,1774,2268,0.78,0.56,0.67,0.13,66.6,6.0,0.485,0.6829999999999999,0.7190000000000001,0.099,0.1,0.08,9673,215,1493,2688,269,131
27,1964,Twista,0.85,,0.82,380,0.49200000000000005,9970,4209,5863,7012,-1149,0.84,5761,2920,971,275,43,0,753,1121,0.67,0.59,0.7,0.16,67.4,5.1,0.359,0.6729999999999999,0.7240000000000001,0.11,0.09,0.09,4327,27,343,1061,102,8
28,7378,Devilwalk,0.86,,0.91,400,0.502,10494,4394,6122,7223,-1101,0.85,6100,3055,1017,283,35,4,847,1138,0.74,0.58,0.69,0.16,69.8,3.9,0.513,0.6679999999999999,0.737,0.11699999999999999,0.12,0.08,4529,145,332,972,127,20
29,12572,djL,0.86,0.91,0.8,688,0.526,18180,7476,10263,11998,-1735,0.86,10704,5250,1728,440,53,5,1391,1607,0.87,0.56,0.66,0.12,63.0,3.0,0.473,0.6920000000000001,0.726,0.109,0.1,0.08,7025,391,1058,1673,119,9
